location	variant	date	sequences
Spain	B.1.1.529	2023-03-10	4
USA	B.1.1.529	2023-03-10	20
United Kingdom	B.1.1.529	2023-03-10	5
Australia	B.1.1.529	2023-03-11	5
Canada	B.1.1.529	2023-03-11	17
Germany	B.1.1.529	2023-03-11	6
Japan	B.1.1.529	2023-03-11	10
South Korea	B.1.1.529	2023-03-11	39
Spain	B.1.1.529	2023-03-11	2
USA	B.1.1.529	2023-03-11	10
United Kingdom	B.1.1.529	2023-03-11	6
Australia	B.1.1.529	2023-03-12	6
Canada	B.1.1.529	2023-03-12	20
France	B.1.1.529	2023-03-12	1
Germany	B.1.1.529	2023-03-12	7
Japan	B.1.1.529	2023-03-12	4
South Korea	B.1.1.529	2023-03-12	38
USA	B.1.1.529	2023-03-12	15
United Kingdom	B.1.1.529	2023-03-12	5
Australia	B.1.1.529	2023-03-13	8
Canada	B.1.1.529	2023-03-13	13
Chile	B.1.1.529	2023-03-13	1
France	B.1.1.529	2023-03-13	13
Germany	B.1.1.529	2023-03-13	25
Japan	B.1.1.529	2023-03-13	27
South Korea	B.1.1.529	2023-03-13	18
Spain	B.1.1.529	2023-03-13	1
USA	B.1.1.529	2023-03-13	34
United Kingdom	B.1.1.529	2023-03-13	7
Australia	B.1.1.529	2023-03-14	10
Canada	B.1.1.529	2023-03-14	35
China	B.1.1.529	2023-03-14	1
Germany	B.1.1.529	2023-03-14	16
Japan	B.1.1.529	2023-03-14	12
South Korea	B.1.1.529	2023-03-14	45
Spain	B.1.1.529	2023-03-14	3
USA	B.1.1.529	2023-03-14	27
United Kingdom	B.1.1.529	2023-03-14	9
Australia	B.1.1.529	2023-03-15	16
Brazil	B.1.1.529	2023-03-15	2
Canada	B.1.1.529	2023-03-15	4
Germany	B.1.1.529	2023-03-15	13
Japan	B.1.1.529	2023-03-15	16
South Korea	B.1.1.529	2023-03-15	67
Spain	B.1.1.529	2023-03-15	1
USA	B.1.1.529	2023-03-15	83
United Kingdom	B.1.1.529	2023-03-15	6
Australia	B.1.1.529	2023-03-16	10
Canada	B.1.1.529	2023-03-16	16
France	B.1.1.529	2023-03-16	2
Germany	B.1.1.529	2023-03-16	18
Israel	B.1.1.529	2023-03-16	2
Japan	B.1.1.529	2023-03-16	16
Mexico	B.1.1.529	2023-03-16	1
South Korea	B.1.1.529	2023-03-16	48
USA	B.1.1.529	2023-03-16	24
United Kingdom	B.1.1.529	2023-03-16	4
Australia	B.1.1.529	2023-03-17	7
Canada	B.1.1.529	2023-03-17	19
France	B.1.1.529	2023-03-17	2
Germany	B.1.1.529	2023-03-17	9
Japan	B.1.1.529	2023-03-17	12
South Korea	B.1.1.529	2023-03-17	8
Spain	B.1.1.529	2023-03-17	3
USA	B.1.1.529	2023-03-17	19
United Kingdom	B.1.1.529	2023-03-17	7
Australia	B.1.1.529	2023-03-18	3
Brazil	B.1.1.529	2023-03-18	1
Canada	B.1.1.529	2023-03-18	10
Germany	B.1.1.529	2023-03-18	3
Japan	B.1.1.529	2023-03-18	3
Mexico	B.1.1.529	2023-03-18	1
South Korea	B.1.1.529	2023-03-18	22
Spain	B.1.1.529	2023-03-18	1
USA	B.1.1.529	2023-03-18	9
United Kingdom	B.1.1.529	2023-03-18	1
Australia	B.1.1.529	2023-03-19	5
Canada	B.1.1.529	2023-03-19	9
France	B.1.1.529	2023-03-19	1
Germany	B.1.1.529	2023-03-19	5
Israel	B.1.1.529	2023-03-19	1
Japan	B.1.1.529	2023-03-19	4
Mexico	B.1.1.529	2023-03-19	1
South Korea	B.1.1.529	2023-03-19	13
USA	B.1.1.529	2023-03-19	5
United Kingdom	B.1.1.529	2023-03-19	3
Australia	B.1.1.529	2023-03-20	10
Canada	B.1.1.529	2023-03-20	10
France	B.1.1.529	2023-03-20	11
Germany	B.1.1.529	2023-03-20	19
Japan	B.1.1.529	2023-03-20	14
South Korea	B.1.1.529	2023-03-20	6
USA	B.1.1.529	2023-03-20	23
United Kingdom	B.1.1.529	2023-03-20	10
Australia	B.1.1.529	2023-03-21	7
Brazil	B.1.1.529	2023-03-21	1
Canada	B.1.1.529	2023-03-21	13
Germany	B.1.1.529	2023-03-21	18
Japan	B.1.1.529	2023-03-21	3
South Korea	B.1.1.529	2023-03-21	28
Spain	B.1.1.529	2023-03-21	3
USA	B.1.1.529	2023-03-21	13
United Kingdom	B.1.1.529	2023-03-21	9
Australia	B.1.1.529	2023-03-22	9
Brazil	B.1.1.529	2023-03-22	1
Canada	B.1.1.529	2023-03-22	9
Germany	B.1.1.529	2023-03-22	16
Israel	B.1.1.529	2023-03-22	1
Japan	B.1.1.529	2023-03-22	22
South Korea	B.1.1.529	2023-03-22	65
Spain	B.1.1.529	2023-03-22	1
USA	B.1.1.529	2023-03-22	61
United Kingdom	B.1.1.529	2023-03-22	4
Australia	B.1.1.529	2023-03-23	13
Brazil	B.1.1.529	2023-03-23	1
Canada	B.1.1.529	2023-03-23	10
France	B.1.1.529	2023-03-23	2
Germany	B.1.1.529	2023-03-23	8
Israel	B.1.1.529	2023-03-23	1
Japan	B.1.1.529	2023-03-23	11
South Korea	B.1.1.529	2023-03-23	36
Spain	B.1.1.529	2023-03-23	1
USA	B.1.1.529	2023-03-23	9
United Kingdom	B.1.1.529	2023-03-23	4
Australia	B.1.1.529	2023-03-24	3
Brazil	B.1.1.529	2023-03-24	1
Canada	B.1.1.529	2023-03-24	10
France	B.1.1.529	2023-03-24	1
Germany	B.1.1.529	2023-03-24	4
Japan	B.1.1.529	2023-03-24	18
South Korea	B.1.1.529	2023-03-24	4
USA	B.1.1.529	2023-03-24	9
United Kingdom	B.1.1.529	2023-03-24	8
Australia	B.1.1.529	2023-03-25	10
Brazil	B.1.1.529	2023-03-25	1
Canada	B.1.1.529	2023-03-25	5
Germany	B.1.1.529	2023-03-25	2
Japan	B.1.1.529	2023-03-25	5
South Korea	B.1.1.529	2023-03-25	43
USA	B.1.1.529	2023-03-25	7
United Kingdom	B.1.1.529	2023-03-25	1
Australia	B.1.1.529	2023-03-26	4
Canada	B.1.1.529	2023-03-26	17
Germany	B.1.1.529	2023-03-26	3
Japan	B.1.1.529	2023-03-26	3
South Korea	B.1.1.529	2023-03-26	23
Spain	B.1.1.529	2023-03-26	1
USA	B.1.1.529	2023-03-26	4
United Kingdom	B.1.1.529	2023-03-26	2
Australia	B.1.1.529	2023-03-27	3
Canada	B.1.1.529	2023-03-27	14
France	B.1.1.529	2023-03-27	10
Germany	B.1.1.529	2023-03-27	6
Japan	B.1.1.529	2023-03-27	13
South Korea	B.1.1.529	2023-03-27	18
USA	B.1.1.529	2023-03-27	8
United Kingdom	B.1.1.529	2023-03-27	3
Australia	B.1.1.529	2023-03-28	11
Brazil	B.1.1.529	2023-03-28	2
Canada	B.1.1.529	2023-03-28	13
China	B.1.1.529	2023-03-28	1
France	B.1.1.529	2023-03-28	1
Germany	B.1.1.529	2023-03-28	3
Japan	B.1.1.529	2023-03-28	13
South Korea	B.1.1.529	2023-03-28	35
USA	B.1.1.529	2023-03-28	3
United Kingdom	B.1.1.529	2023-03-28	6
Australia	B.1.1.529	2023-03-29	6
Canada	B.1.1.529	2023-03-29	6
China	B.1.1.529	2023-03-29	1
Germany	B.1.1.529	2023-03-29	4
Japan	B.1.1.529	2023-03-29	14
South Korea	B.1.1.529	2023-03-29	30
USA	B.1.1.529	2023-03-29	21
United Kingdom	B.1.1.529	2023-03-29	13
Australia	B.1.1.529	2023-03-30	5
Canada	B.1.1.529	2023-03-30	7
China	B.1.1.529	2023-03-30	2
France	B.1.1.529	2023-03-30	1
Germany	B.1.1.529	2023-03-30	6
Japan	B.1.1.529	2023-03-30	15
South Korea	B.1.1.529	2023-03-30	26
Spain	B.1.1.529	2023-03-30	1
USA	B.1.1.529	2023-03-30	8
United Kingdom	B.1.1.529	2023-03-30	6
Australia	B.1.1.529	2023-03-31	2
Brazil	B.1.1.529	2023-03-31	1
Canada	B.1.1.529	2023-03-31	13
Germany	B.1.1.529	2023-03-31	1
Japan	B.1.1.529	2023-03-31	12
South Korea	B.1.1.529	2023-03-31	13
USA	B.1.1.529	2023-03-31	7
United Kingdom	B.1.1.529	2023-03-31	4
Australia	B.1.1.529	2023-04-01	4
Canada	B.1.1.529	2023-04-01	3
Germany	B.1.1.529	2023-04-01	3
Japan	B.1.1.529	2023-04-01	11
South Korea	B.1.1.529	2023-04-01	18
USA	B.1.1.529	2023-04-01	5
Australia	B.1.1.529	2023-04-02	4
Canada	B.1.1.529	2023-04-02	6
France	B.1.1.529	2023-04-02	2
Germany	B.1.1.529	2023-04-02	4
Israel	B.1.1.529	2023-04-02	1
Japan	B.1.1.529	2023-04-02	2
South Korea	B.1.1.529	2023-04-02	18
Spain	B.1.1.529	2023-04-02	2
USA	B.1.1.529	2023-04-02	2
United Kingdom	B.1.1.529	2023-04-02	3
Australia	B.1.1.529	2023-04-03	5
Brazil	B.1.1.529	2023-04-03	1
Canada	B.1.1.529	2023-04-03	15
France	B.1.1.529	2023-04-03	9
Germany	B.1.1.529	2023-04-03	3
Japan	B.1.1.529	2023-04-03	16
South Korea	B.1.1.529	2023-04-03	11
USA	B.1.1.529	2023-04-03	13
Australia	B.1.1.529	2023-04-04	4
Canada	B.1.1.529	2023-04-04	5
Germany	B.1.1.529	2023-04-04	2
Israel	B.1.1.529	2023-04-04	2
Japan	B.1.1.529	2023-04-04	13
South Korea	B.1.1.529	2023-04-04	29
USA	B.1.1.529	2023-04-04	5
United Kingdom	B.1.1.529	2023-04-04	3
Australia	B.1.1.529	2023-04-05	2
Canada	B.1.1.529	2023-04-05	2
China	B.1.1.529	2023-04-05	1
Germany	B.1.1.529	2023-04-05	8
Japan	B.1.1.529	2023-04-05	8
South Korea	B.1.1.529	2023-04-05	36
Spain	B.1.1.529	2023-04-05	1
USA	B.1.1.529	2023-04-05	5
United Kingdom	B.1.1.529	2023-04-05	3
Australia	B.1.1.529	2023-04-06	3
Canada	B.1.1.529	2023-04-06	7
Germany	B.1.1.529	2023-04-06	3
Japan	B.1.1.529	2023-04-06	10
South Korea	B.1.1.529	2023-04-06	10
USA	B.1.1.529	2023-04-06	29
United Kingdom	B.1.1.529	2023-04-06	5
Canada	B.1.1.529	2023-04-07	5
France	B.1.1.529	2023-04-07	2
Germany	B.1.1.529	2023-04-07	2
Japan	B.1.1.529	2023-04-07	7
South Korea	B.1.1.529	2023-04-07	12
USA	B.1.1.529	2023-04-07	5
United Kingdom	B.1.1.529	2023-04-07	3
Brazil	B.1.1.529	2023-04-08	1
Canada	B.1.1.529	2023-04-08	4
Germany	B.1.1.529	2023-04-08	2
Japan	B.1.1.529	2023-04-08	3
South Korea	B.1.1.529	2023-04-08	25
Spain	B.1.1.529	2023-04-08	2
USA	B.1.1.529	2023-04-08	6
United Kingdom	B.1.1.529	2023-04-08	2
Australia	B.1.1.529	2023-04-09	3
Canada	B.1.1.529	2023-04-09	3
China	B.1.1.529	2023-04-09	1
Germany	B.1.1.529	2023-04-09	1
South Korea	B.1.1.529	2023-04-09	24
USA	B.1.1.529	2023-04-09	5
United Kingdom	B.1.1.529	2023-04-09	2
Australia	B.1.1.529	2023-04-10	1
Canada	B.1.1.529	2023-04-10	4
France	B.1.1.529	2023-04-10	1
Germany	B.1.1.529	2023-04-10	1
Japan	B.1.1.529	2023-04-10	15
South Korea	B.1.1.529	2023-04-10	4
Spain	B.1.1.529	2023-04-10	1
USA	B.1.1.529	2023-04-10	3
United Kingdom	B.1.1.529	2023-04-10	2
Australia	B.1.1.529	2023-04-11	9
Canada	B.1.1.529	2023-04-11	5
France	B.1.1.529	2023-04-11	2
Germany	B.1.1.529	2023-04-11	1
Japan	B.1.1.529	2023-04-11	9
South Korea	B.1.1.529	2023-04-11	36
USA	B.1.1.529	2023-04-11	7
United Kingdom	B.1.1.529	2023-04-11	2
Australia	B.1.1.529	2023-04-12	4
Canada	B.1.1.529	2023-04-12	6
Germany	B.1.1.529	2023-04-12	1
Japan	B.1.1.529	2023-04-12	9
South Korea	B.1.1.529	2023-04-12	32
Spain	B.1.1.529	2023-04-12	3
USA	B.1.1.529	2023-04-12	18
United Kingdom	B.1.1.529	2023-04-12	1
Australia	B.1.1.529	2023-04-13	2
Brazil	B.1.1.529	2023-04-13	2
Canada	B.1.1.529	2023-04-13	3
France	B.1.1.529	2023-04-13	2
Germany	B.1.1.529	2023-04-13	4
Japan	B.1.1.529	2023-04-13	14
South Korea	B.1.1.529	2023-04-13	16
Spain	B.1.1.529	2023-04-13	1
USA	B.1.1.529	2023-04-13	6
United Kingdom	B.1.1.529	2023-04-13	1
Australia	B.1.1.529	2023-04-14	2
Canada	B.1.1.529	2023-04-14	6
Germany	B.1.1.529	2023-04-14	3
Japan	B.1.1.529	2023-04-14	13
South Korea	B.1.1.529	2023-04-14	7
Spain	B.1.1.529	2023-04-14	1
USA	B.1.1.529	2023-04-14	4
United Kingdom	B.1.1.529	2023-04-14	1
Australia	B.1.1.529	2023-04-15	2
Canada	B.1.1.529	2023-04-15	2
Japan	B.1.1.529	2023-04-15	6
South Korea	B.1.1.529	2023-04-15	33
USA	B.1.1.529	2023-04-15	3
United Kingdom	B.1.1.529	2023-04-15	1
Canada	B.1.1.529	2023-04-16	4
China	B.1.1.529	2023-04-16	3
Japan	B.1.1.529	2023-04-16	1
South Korea	B.1.1.529	2023-04-16	16
USA	B.1.1.529	2023-04-16	4
Australia	B.1.1.529	2023-04-17	1
Canada	B.1.1.529	2023-04-17	5
China	B.1.1.529	2023-04-17	1
France	B.1.1.529	2023-04-17	5
Germany	B.1.1.529	2023-04-17	1
Japan	B.1.1.529	2023-04-17	11
South Korea	B.1.1.529	2023-04-17	6
Spain	B.1.1.529	2023-04-17	1
USA	B.1.1.529	2023-04-17	3
United Kingdom	B.1.1.529	2023-04-17	2
Australia	B.1.1.529	2023-04-18	1
Canada	B.1.1.529	2023-04-18	3
Germany	B.1.1.529	2023-04-18	1
Japan	B.1.1.529	2023-04-18	6
Mexico	B.1.1.529	2023-04-18	1
South Korea	B.1.1.529	2023-04-18	21
USA	B.1.1.529	2023-04-18	4
United Kingdom	B.1.1.529	2023-04-18	2
Australia	B.1.1.529	2023-04-19	1
China	B.1.1.529	2023-04-19	1
Germany	B.1.1.529	2023-04-19	1
Japan	B.1.1.529	2023-04-19	11
South Korea	B.1.1.529	2023-04-19	35
USA	B.1.1.529	2023-04-19	16
United Kingdom	B.1.1.529	2023-04-19	2
Australia	B.1.1.529	2023-04-20	2
Canada	B.1.1.529	2023-04-20	4
Germany	B.1.1.529	2023-04-20	2
Japan	B.1.1.529	2023-04-20	19
South Korea	B.1.1.529	2023-04-20	9
Spain	B.1.1.529	2023-04-20	1
USA	B.1.1.529	2023-04-20	38
United Kingdom	B.1.1.529	2023-04-20	3
Australia	B.1.1.529	2023-04-21	3
Canada	B.1.1.529	2023-04-21	4
France	B.1.1.529	2023-04-21	1
Germany	B.1.1.529	2023-04-21	4
Japan	B.1.1.529	2023-04-21	17
South Korea	B.1.1.529	2023-04-21	14
USA	B.1.1.529	2023-04-21	2
United Kingdom	B.1.1.529	2023-04-21	3
Australia	B.1.1.529	2023-04-22	1
Canada	B.1.1.529	2023-04-22	2
China	B.1.1.529	2023-04-22	1
France	B.1.1.529	2023-04-22	1
Germany	B.1.1.529	2023-04-22	2
Japan	B.1.1.529	2023-04-22	4
South Korea	B.1.1.529	2023-04-22	20
USA	B.1.1.529	2023-04-22	2
Australia	B.1.1.529	2023-04-23	2
Canada	B.1.1.529	2023-04-23	4
Germany	B.1.1.529	2023-04-23	1
Japan	B.1.1.529	2023-04-23	1
South Korea	B.1.1.529	2023-04-23	13
Australia	B.1.1.529	2023-04-24	1
Canada	B.1.1.529	2023-04-24	5
China	B.1.1.529	2023-04-24	3
France	B.1.1.529	2023-04-24	1
Japan	B.1.1.529	2023-04-24	19
South Korea	B.1.1.529	2023-04-24	4
USA	B.1.1.529	2023-04-24	2
United Kingdom	B.1.1.529	2023-04-24	1
Australia	B.1.1.529	2023-04-25	1
Canada	B.1.1.529	2023-04-25	4
China	B.1.1.529	2023-04-25	1
Japan	B.1.1.529	2023-04-25	17
South Korea	B.1.1.529	2023-04-25	23
USA	B.1.1.529	2023-04-25	2
United Kingdom	B.1.1.529	2023-04-25	1
Australia	B.1.1.529	2023-04-26	4
France	B.1.1.529	2023-04-26	1
Japan	B.1.1.529	2023-04-26	9
South Korea	B.1.1.529	2023-04-26	14
Spain	B.1.1.529	2023-04-26	2
USA	B.1.1.529	2023-04-26	13
United Kingdom	B.1.1.529	2023-04-26	1
Australia	B.1.1.529	2023-04-27	1
Canada	B.1.1.529	2023-04-27	1
France	B.1.1.529	2023-04-27	1
Japan	B.1.1.529	2023-04-27	10
South Korea	B.1.1.529	2023-04-27	15
Spain	B.1.1.529	2023-04-27	1
USA	B.1.1.529	2023-04-27	1
Australia	B.1.1.529	2023-04-28	1
Brazil	B.1.1.529	2023-04-28	1
Canada	B.1.1.529	2023-04-28	3
Japan	B.1.1.529	2023-04-28	10
South Korea	B.1.1.529	2023-04-28	5
USA	B.1.1.529	2023-04-28	6
Japan	B.1.1.529	2023-04-29	4
South Korea	B.1.1.529	2023-04-29	1
USA	B.1.1.529	2023-04-29	1
Australia	B.1.1.529	2023-04-30	1
Canada	B.1.1.529	2023-04-30	2
Japan	B.1.1.529	2023-04-30	6
South Korea	B.1.1.529	2023-04-30	4
Australia	B.1.1.529	2023-05-01	2
Canada	B.1.1.529	2023-05-01	3
France	B.1.1.529	2023-05-01	1
Japan	B.1.1.529	2023-05-01	11
South Korea	B.1.1.529	2023-05-01	1
USA	B.1.1.529	2023-05-01	2
United Kingdom	B.1.1.529	2023-05-01	1
Australia	B.1.1.529	2023-05-02	2
Canada	B.1.1.529	2023-05-02	1
France	B.1.1.529	2023-05-02	4
Japan	B.1.1.529	2023-05-02	8
South Korea	B.1.1.529	2023-05-02	18
Spain	B.1.1.529	2023-05-02	1
USA	B.1.1.529	2023-05-02	5
Canada	B.1.1.529	2023-05-03	1
Japan	B.1.1.529	2023-05-03	8
Mexico	B.1.1.529	2023-05-03	1
South Korea	B.1.1.529	2023-05-03	10
USA	B.1.1.529	2023-05-03	4
Japan	B.1.1.529	2023-05-04	2
South Korea	B.1.1.529	2023-05-04	8
USA	B.1.1.529	2023-05-04	8
United Kingdom	B.1.1.529	2023-05-04	1
Canada	B.1.1.529	2023-05-05	2
China	B.1.1.529	2023-05-05	1
Japan	B.1.1.529	2023-05-05	3
South Korea	B.1.1.529	2023-05-05	5
Spain	B.1.1.529	2023-05-05	1
USA	B.1.1.529	2023-05-05	1
Japan	B.1.1.529	2023-05-06	18
South Korea	B.1.1.529	2023-05-06	5
USA	B.1.1.529	2023-05-06	3
Australia	B.1.1.529	2023-05-07	1
Canada	B.1.1.529	2023-05-07	2
China	B.1.1.529	2023-05-07	1
Japan	B.1.1.529	2023-05-07	5
South Korea	B.1.1.529	2023-05-07	4
USA	B.1.1.529	2023-05-07	1
Australia	B.1.1.529	2023-05-08	1
Japan	B.1.1.529	2023-05-08	18
South Korea	B.1.1.529	2023-05-08	4
USA	B.1.1.529	2023-05-08	3
Australia	B.1.1.529	2023-05-09	2
Canada	B.1.1.529	2023-05-09	2
Japan	B.1.1.529	2023-05-09	8
South Korea	B.1.1.529	2023-05-09	1
USA	B.1.1.529	2023-05-09	2
Canada	B.1.1.529	2023-05-10	1
China	B.1.1.529	2023-05-10	1
Israel	B.1.1.529	2023-05-10	1
Japan	B.1.1.529	2023-05-10	4
Mexico	B.1.1.529	2023-05-10	1
South Korea	B.1.1.529	2023-05-10	18
USA	B.1.1.529	2023-05-10	1
China	B.1.1.529	2023-05-11	1
France	B.1.1.529	2023-05-11	1
Japan	B.1.1.529	2023-05-11	2
South Korea	B.1.1.529	2023-05-11	3
Canada	B.1.1.529	2023-05-12	1
Japan	B.1.1.529	2023-05-12	2
South Korea	B.1.1.529	2023-05-12	2
USA	B.1.1.529	2023-05-12	4
Canada	B.1.1.529	2023-05-13	1
Japan	B.1.1.529	2023-05-13	8
South Korea	B.1.1.529	2023-05-13	1
USA	B.1.1.529	2023-05-13	3
Canada	B.1.1.529	2023-05-14	1
Japan	B.1.1.529	2023-05-14	2
South Korea	B.1.1.529	2023-05-14	2
USA	B.1.1.529	2023-05-14	5
Australia	B.1.1.529	2023-05-15	1
China	B.1.1.529	2023-05-15	1
France	B.1.1.529	2023-05-15	3
Japan	B.1.1.529	2023-05-15	5
Japan	B.1.1.529	2023-05-16	1
Mexico	B.1.1.529	2023-05-16	1
South Korea	B.1.1.529	2023-05-16	4
Spain	B.1.1.529	2023-05-16	1
United Kingdom	B.1.1.529	2023-05-16	1
Canada	B.1.1.529	2023-05-17	2
Japan	B.1.1.529	2023-05-17	5
South Korea	B.1.1.529	2023-05-17	3
USA	B.1.1.529	2023-05-17	1
Canada	B.1.1.529	2023-05-18	1
Japan	B.1.1.529	2023-05-18	9
South Korea	B.1.1.529	2023-05-18	1
USA	B.1.1.529	2023-05-18	1
Australia	B.1.1.529	2023-05-19	1
Germany	B.1.1.529	2023-05-19	1
Japan	B.1.1.529	2023-05-19	3
Japan	B.1.1.529	2023-05-20	3
South Korea	B.1.1.529	2023-05-20	1
USA	B.1.1.529	2023-05-20	2
South Korea	B.1.1.529	2023-05-21	4
Spain	B.1.1.529	2023-05-21	1
USA	B.1.1.529	2023-05-21	1
Australia	B.1.1.529	2023-05-22	1
Canada	B.1.1.529	2023-05-22	1
Germany	B.1.1.529	2023-05-22	1
Japan	B.1.1.529	2023-05-22	7
South Korea	B.1.1.529	2023-05-22	3
USA	B.1.1.529	2023-05-22	2
Japan	B.1.1.529	2023-05-23	4
Mexico	B.1.1.529	2023-05-23	1
South Korea	B.1.1.529	2023-05-23	5
Japan	B.1.1.529	2023-05-24	3
South Korea	B.1.1.529	2023-05-24	3
Spain	B.1.1.529	2023-05-24	2
USA	B.1.1.529	2023-05-24	3
China	B.1.1.529	2023-05-25	1
Japan	B.1.1.529	2023-05-25	10
South Korea	B.1.1.529	2023-05-25	3
Spain	B.1.1.529	2023-05-25	1
Japan	B.1.1.529	2023-05-26	1
Japan	B.1.1.529	2023-05-27	2
South Korea	B.1.1.529	2023-05-27	1
USA	B.1.1.529	2023-05-27	2
Canada	B.1.1.529	2023-05-28	1
Japan	B.1.1.529	2023-05-28	1
South Korea	B.1.1.529	2023-05-28	3
Japan	B.1.1.529	2023-05-29	4
South Korea	B.1.1.529	2023-05-29	2
Spain	B.1.1.529	2023-05-29	1
Australia	B.1.1.529	2023-05-30	1
France	B.1.1.529	2023-05-30	1
Japan	B.1.1.529	2023-05-30	6
South Korea	B.1.1.529	2023-05-30	3
Spain	B.1.1.529	2023-05-30	2
Australia	B.1.1.529	2023-05-31	1
Canada	B.1.1.529	2023-05-31	1
Japan	B.1.1.529	2023-05-31	4
South Korea	B.1.1.529	2023-05-31	3
USA	B.1.1.529	2023-05-31	1
Japan	B.1.1.529	2023-06-01	4
USA	B.1.1.529	2023-06-01	1
Australia	B.1.1.529	2023-06-02	1
China	B.1.1.529	2023-06-02	3
Japan	B.1.1.529	2023-06-02	3
South Korea	B.1.1.529	2023-06-02	5
Spain	B.1.1.529	2023-06-02	2
Japan	B.1.1.529	2023-06-04	1
USA	B.1.1.529	2023-06-04	1
France	B.1.1.529	2023-06-05	3
Japan	B.1.1.529	2023-06-05	5
USA	B.1.1.529	2023-06-05	2
China	B.1.1.529	2023-06-06	1
Japan	B.1.1.529	2023-06-06	6
South Korea	B.1.1.529	2023-06-06	4
Spain	B.1.1.529	2023-06-06	1
United Kingdom	B.1.1.529	2023-06-06	1
Canada	B.1.1.529	2023-06-07	1
Japan	B.1.1.529	2023-06-07	4
South Korea	B.1.1.529	2023-06-07	1
Japan	B.1.1.529	2023-06-08	4
South Korea	B.1.1.529	2023-06-08	1
USA	B.1.1.529	2023-06-08	1
Japan	B.1.1.529	2023-06-09	3
South Korea	B.1.1.529	2023-06-09	1
USA	B.1.1.529	2023-06-09	2
Japan	B.1.1.529	2023-06-10	1
South Korea	B.1.1.529	2023-06-10	1
South Korea	B.1.1.529	2023-06-11	1
Japan	B.1.1.529	2023-06-12	1
South Korea	B.1.1.529	2023-06-12	4
Spain	B.1.1.529	2023-06-12	2
Australia	B.1.1.529	2023-06-13	1
France	B.1.1.529	2023-06-13	1
Japan	B.1.1.529	2023-06-13	2
Spain	B.1.1.529	2023-06-13	1
Canada	B.1.1.529	2023-06-14	1
Japan	B.1.1.529	2023-06-14	2
